mouse	cage	time	dominance
C13F1	C13	CD	0.472545505
C13F2	C13	CD	0.31040992
C13F3	C13	CD	0.993243855
C13F4	C13	CD	0.076558433
C13F5	C13	CD	0.649232871
C04M1	C04	CD	0.470244244
C04M2	C04	CD	0.389580303
C04M3	C04	CD	0.938506595
C04M4	C04	CD	0.459889834
C04M5	C04	CD	0.24148975
C10F1	C10	CD	0.966419987
C10F2	C10	CD	0.430666413
C10F3	C10	CD	0.232510534
C10F4	C10	CD	0.151891834
C10F5	C10	CD	0.703215534
C11F1	C11	CD	0.67105727
C11F2	C11	CD	0.559420114
C11F3	C11	CD	0.060570198
C11F4	C11	CD	0.62999198
C11F5	C11	CD	0.56783306
C12F1	C12	CD	0.319305406
C12F2	C12	CD	0.452555622
C12F3	C12	CD	0.933905823
C12F4	C12	CD	0.75566984
C12F5	C12	CD	0.032845188
C03M1	C03	CD	0.399013312
C03M2	C03	CD	0.631830464
C03M3	C03	CD	0.784897677
C03M4	C03	CD	0.083173162
C03M5	C03	CD	0.381706413
C05M1	C05	CD	0.908426691
C05M2	C05	CD	0.404344902
C05M3	C05	CD	0.243128716
C05M4	C05	CD	0.796459526
C05M5	C05	CD	0.113915722
C06M1	C06	CD	0.321792406
C06M2	C06	CD	0.385113301
C06M3	C06	CD	0.977682853
C06M4	C06	CD	0.189606432
C06M5	C06	CD	0.595953561
